18-Oct-2022 14:20:05 Start of calculation the curve OFDM_PAPR_Type1_64QAM (3 of 15).
18-Oct-2022 14:20:05   Start of the main calculations.
18-Oct-2022 14:20:12     NumSam =    2851200; NumFr =    100; NumBits =    5737600; PAPR = 9.00; Prob = 0.000360 =       1026/   2851200.
18-Oct-2022 14:21:38     NumSam =   57024000; NumFr =   2000; NumBits =  114752000; PAPR = 10.30; Prob = 0.000022 =       1233/  57024000.
18-Oct-2022 14:21:42     NumSam =   59875200; NumFr =   2100; NumBits =  120489600; PAPR = 10.40; Prob = 0.000017 =       1024/  59875200.
18-Oct-2022 14:21:47     NumSam =   62726400; NumFr =   2200; NumBits =  126227200; PAPR = 10.40; Prob = 0.000017 =       1069/  62726400.
18-Oct-2022 14:21:51     NumSam =   65577600; NumFr =   2300; NumBits =  131964800; PAPR = 10.40; Prob = 0.000017 =       1122/  65577600.
18-Oct-2022 14:21:56     NumSam =   68428800; NumFr =   2400; NumBits =  137702400; PAPR = 10.40; Prob = 0.000017 =       1177/  68428800.
18-Oct-2022 14:22:00     NumSam =   71280000; NumFr =   2500; NumBits =  143440000; PAPR = 10.40; Prob = 0.000017 =       1225/  71280000.
18-Oct-2022 14:22:05     NumSam =   74131200; NumFr =   2600; NumBits =  149177600; PAPR = 10.40; Prob = 0.000017 =       1281/  74131200.
18-Oct-2022 14:22:09     NumSam =   76982400; NumFr =   2700; NumBits =  154915200; PAPR = 10.50; Prob = 0.000013 =       1018/  76982400.
18-Oct-2022 14:22:14     NumSam =   79833600; NumFr =   2800; NumBits =  160652800; PAPR = 10.50; Prob = 0.000013 =       1061/  79833600.
18-Oct-2022 14:22:18     NumSam =   82684800; NumFr =   2900; NumBits =  166390400; PAPR = 10.50; Prob = 0.000013 =       1092/  82684800.
18-Oct-2022 14:22:23     NumSam =   85536000; NumFr =   3000; NumBits =  172128000; PAPR = 10.50; Prob = 0.000013 =       1131/  85536000.
18-Oct-2022 14:22:27     NumSam =   88387200; NumFr =   3100; NumBits =  177865600; PAPR = 10.50; Prob = 0.000013 =       1166/  88387200.
18-Oct-2022 14:22:32     NumSam =   91238400; NumFr =   3200; NumBits =  183603200; PAPR = 10.50; Prob = 0.000013 =       1206/  91238400.
18-Oct-2022 14:22:36     NumSam =   94089600; NumFr =   3300; NumBits =  189340800; PAPR = 10.50; Prob = 0.000013 =       1244/  94089600.
18-Oct-2022 14:22:41     NumSam =   96940800; NumFr =   3400; NumBits =  195078400; PAPR = 10.50; Prob = 0.000013 =       1283/  96940800.
18-Oct-2022 14:22:45     NumSam =   99792000; NumFr =   3500; NumBits =  200816000; PAPR = 10.60; Prob = 0.000010 =       1013/  99792000.
18-Oct-2022 14:22:50     NumSam =  102643200; NumFr =   3600; NumBits =  206553600; PAPR = 10.60; Prob = 0.000010 =       1050/ 102643200.
18-Oct-2022 14:22:54     NumSam =  105494400; NumFr =   3700; NumBits =  212291200; PAPR = 10.60; Prob = 0.000010 =       1077/ 105494400.
18-Oct-2022 14:22:59     NumSam =  108345600; NumFr =   3800; NumBits =  218028800; PAPR = 10.60; Prob = 0.000010 =       1116/ 108345600.
18-Oct-2022 14:23:04     NumSam =  111196800; NumFr =   3900; NumBits =  223766400; PAPR = 10.60; Prob = 0.000010 =       1150/ 111196800.
18-Oct-2022 14:23:08     NumSam =  114048000; NumFr =   4000; NumBits =  229504000; PAPR = 10.60; Prob = 0.000010 =       1187/ 114048000.
18-Oct-2022 14:23:13     NumSam =  116899200; NumFr =   4100; NumBits =  235241600; PAPR = 10.60; Prob = 0.000010 =       1224/ 116899200.
18-Oct-2022 14:23:17     NumSam =  119750400; NumFr =   4200; NumBits =  240979200; PAPR = 10.60; Prob = 0.000011 =       1263/ 119750400.
18-Oct-2022 14:23:22     NumSam =  122601600; NumFr =   4300; NumBits =  246716800; PAPR = 10.60; Prob = 0.000011 =       1295/ 122601600.
18-Oct-2022 14:23:26     NumSam =  125452800; NumFr =   4400; NumBits =  252454400; PAPR = 10.70; Prob = 0.000008 =       1004/ 125452800. Completed.
