18-Oct-2022 14:23:26 Start of calculation the curve OFDM_PAPR_Type2__QPSK (4 of 15).
18-Oct-2022 14:23:26   Start of the main calculations.
18-Oct-2022 14:23:32     NumSam =       1300; NumFr =    100; NumBits =    1178400; PAPR = 8.60; Prob = 0.773846 =       1006/      1300.
18-Oct-2022 14:28:36     NumSam =     100100; NumFr =   7700; NumBits =   90736800; PAPR = 10.80; Prob = 0.011449 =       1146/    100100.
18-Oct-2022 14:28:40     NumSam =     101400; NumFr =   7800; NumBits =   91915200; PAPR = 10.80; Prob = 0.011479 =       1164/    101400.
18-Oct-2022 14:28:44     NumSam =     102700; NumFr =   7900; NumBits =   93093600; PAPR = 10.80; Prob = 0.011480 =       1179/    102700.
18-Oct-2022 14:28:48     NumSam =     104000; NumFr =   8000; NumBits =   94272000; PAPR = 10.80; Prob = 0.011510 =       1197/    104000.
18-Oct-2022 14:28:52     NumSam =     105300; NumFr =   8100; NumBits =   95450400; PAPR = 10.80; Prob = 0.011510 =       1212/    105300.
18-Oct-2022 14:28:56     NumSam =     106600; NumFr =   8200; NumBits =   96628800; PAPR = 10.80; Prob = 0.011510 =       1227/    106600.
18-Oct-2022 14:29:00     NumSam =     107900; NumFr =   8300; NumBits =   97807200; PAPR = 10.80; Prob = 0.011511 =       1242/    107900.
18-Oct-2022 14:29:05     NumSam =     109200; NumFr =   8400; NumBits =   98985600; PAPR = 10.80; Prob = 0.011474 =       1253/    109200.
18-Oct-2022 14:29:09     NumSam =     110500; NumFr =   8500; NumBits =  100164000; PAPR = 10.80; Prob = 0.011484 =       1269/    110500.
18-Oct-2022 14:29:13     NumSam =     111800; NumFr =   8600; NumBits =  101342400; PAPR = 10.80; Prob = 0.011404 =       1275/    111800.
18-Oct-2022 14:29:17     NumSam =     113100; NumFr =   8700; NumBits =  102520800; PAPR = 10.80; Prob = 0.011415 =       1291/    113100.
18-Oct-2022 14:29:21     NumSam =     114400; NumFr =   8800; NumBits =  103699200; PAPR = 10.80; Prob = 0.011381 =       1302/    114400.
18-Oct-2022 14:29:25     NumSam =     115700; NumFr =   8900; NumBits =  104877600; PAPR = 10.90; Prob = 0.008712 =       1008/    115700. Completed.
