18-Oct-2022 14:35:19 Start of calculation the curve OFDM_PAPR_Type2_64QAM (6 of 15).
18-Oct-2022 14:35:19   Start of the main calculations.
18-Oct-2022 14:35:26     NumSam =       1300; NumFr =    100; NumBits =    5737600; PAPR = 8.50; Prob = 0.806154 =       1048/      1300.
18-Oct-2022 14:38:16     NumSam =      52000; NumFr =   4000; NumBits =  229504000; PAPR = 10.60; Prob = 0.021154 =       1100/     52000.
18-Oct-2022 14:38:20     NumSam =      53300; NumFr =   4100; NumBits =  235241600; PAPR = 10.60; Prob = 0.021295 =       1135/     53300.
18-Oct-2022 14:38:25     NumSam =      54600; NumFr =   4200; NumBits =  240979200; PAPR = 10.60; Prob = 0.021447 =       1171/     54600.
18-Oct-2022 14:38:29     NumSam =      55900; NumFr =   4300; NumBits =  246716800; PAPR = 10.60; Prob = 0.021467 =       1200/     55900.
18-Oct-2022 14:38:33     NumSam =      57200; NumFr =   4400; NumBits =  252454400; PAPR = 10.60; Prob = 0.021434 =       1226/     57200.
18-Oct-2022 14:38:38     NumSam =      58500; NumFr =   4500; NumBits =  258192000; PAPR = 10.60; Prob = 0.021368 =       1250/     58500.
18-Oct-2022 14:38:42     NumSam =      59800; NumFr =   4600; NumBits =  263929600; PAPR = 10.60; Prob = 0.021271 =       1272/     59800.
18-Oct-2022 14:38:47     NumSam =      61100; NumFr =   4700; NumBits =  269667200; PAPR = 10.60; Prob = 0.021195 =       1295/     61100.
18-Oct-2022 14:38:51     NumSam =      62400; NumFr =   4800; NumBits =  275404800; PAPR = 10.70; Prob = 0.016138 =       1007/     62400.
18-Oct-2022 14:38:55     NumSam =      63700; NumFr =   4900; NumBits =  281142400; PAPR = 10.70; Prob = 0.016122 =       1027/     63700.
18-Oct-2022 14:39:00     NumSam =      65000; NumFr =   5000; NumBits =  286880000; PAPR = 10.70; Prob = 0.016108 =       1047/     65000.
18-Oct-2022 14:39:04     NumSam =      66300; NumFr =   5100; NumBits =  292617600; PAPR = 10.70; Prob = 0.016003 =       1061/     66300.
18-Oct-2022 14:39:08     NumSam =      67600; NumFr =   5200; NumBits =  298355200; PAPR = 10.70; Prob = 0.015932 =       1077/     67600.
18-Oct-2022 14:39:13     NumSam =      68900; NumFr =   5300; NumBits =  304092800; PAPR = 10.70; Prob = 0.016067 =       1107/     68900.
18-Oct-2022 14:39:17     NumSam =      70200; NumFr =   5400; NumBits =  309830400; PAPR = 10.70; Prob = 0.015954 =       1120/     70200.
18-Oct-2022 14:39:22     NumSam =      71500; NumFr =   5500; NumBits =  315568000; PAPR = 10.70; Prob = 0.016028 =       1146/     71500.
18-Oct-2022 14:39:26     NumSam =      72800; NumFr =   5600; NumBits =  321305600; PAPR = 10.70; Prob = 0.016030 =       1167/     72800.
18-Oct-2022 14:39:31     NumSam =      74100; NumFr =   5700; NumBits =  327043200; PAPR = 10.70; Prob = 0.015924 =       1180/     74100.
18-Oct-2022 14:39:35     NumSam =      75400; NumFr =   5800; NumBits =  332780800; PAPR = 10.70; Prob = 0.015875 =       1197/     75400.
18-Oct-2022 14:39:40     NumSam =      76700; NumFr =   5900; NumBits =  338518400; PAPR = 10.70; Prob = 0.015854 =       1216/     76700.
